ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
ACLX,under_touch,2022-09-13,19.6,19.59,0.03,3790.9,11,1.08,6.25,1.87,-27.16,7.79,,-3.21,-3.57,-3.57,11.73,487.09,7.91,-14.64,3.0,-4.9,3.0,2.98,True
ACLX,under_touch,2022-09-19,18.98,20.77,-8.6,3790.9,15,0.97,7.9,6.69,-29.47,13.79,,-6.43,-0.95,-2.95,13.75,506.27,6.32,-11.85,1.0,-0.05,4.0,15.1,False
ACLX,under_touch,2022-09-22,17.71,18.31,-3.27,2294.6,3,0.44,8.51,-3.85,-34.19,13.19,,7.28,4.4,8.58,11.41,549.75,13.95,-5.53,1.0,-1.41,1.0,3.87,False
ACLX,under_touch,2022-10-04,18.99,18.13,4.77,1689.8,7,0.49,7.9,2.43,-29.43,14.67,,-0.47,3.05,21.7,5.0,505.95,26.43,-10.64,2.0,-2.63,1.0,0.03,True
ACLX,under_touch,2022-10-10,18.9,17.32,9.11,1322.4,1,0.42,7.18,-6.34,-29.77,13.36,,-2.54,2.49,20.26,0.48,508.84,27.83,-7.09,,,1.0,2.03,True
ACLX,under_touch,2022-10-17,18.42,18.26,0.88,1322.4,6,1.5,7.15,-2.95,-31.55,6.29,,5.16,27.47,17.21,70.9,524.7,31.16,-2.99,17.0,17.59,2.0,3.83,True
ACLX,under_touch,2022-10-21,19.74,19.04,3.65,1322.4,10,0.97,6.38,13.06,-26.64,6.35,,11.5,12.61,7.8,50.0,482.93,22.39,-9.47,13.0,9.73,3.0,1.44,True
ACLX,under_touch,2022-10-27,20.4,19.86,2.7,1322.4,14,1.38,6.78,7.37,-24.19,7.03,,15.15,10.44,6.08,54.12,464.07,18.43,-5.29,9.0,6.18,4.0,1.38,True
ACLX,under_touch,2022-11-09,21.66,21.84,-0.82,1322.4,23,1.06,7.38,11.53,-19.51,8.78,,-6.83,-3.55,0.09,45.38,431.26,7.43,-13.67,3.0,-0.32,5.0,3.11,False
ACLX,under_touch,2022-11-15,21.75,22.78,-4.52,1322.4,27,1.9,7.26,11.14,-19.18,9.84,,-0.32,-8.32,51.72,47.86,429.06,51.95,-14.02,1.0,-7.22,6.0,10.23,False
ACLX,under_touch,2022-11-16,20.18,20.65,-2.27,1046.3,1,0.97,7.87,6.49,-25.01,9.32,,3.52,-2.38,53.77,58.57,470.22,68.43,-7.33,1.0,-2.23,1.0,3.43,False
ACLX,under_touch,2022-11-28,20.16,20.4,-1.19,886.6,6,0.85,7.08,-8.41,-25.08,9.37,,-3.42,41.47,46.92,64.38,470.78,68.6,-7.24,1.0,-0.94,1.0,3.25,False
ACLX,under_touch,2022-11-30,19.94,19.85,0.44,806.9,1,1.74,7.02,-13.72,-25.9,9.31,,1.4,65.5,57.37,64.69,477.08,70.46,-6.22,1.0,-1.2,1.0,1.93,True
