ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
ACT,פריצה,2023-05-01,24.34,21.91,29.21,100.0,2023-05-04,21.91,SL,-499.18,-9.98,3
AFCG,פריצה,2023-03-20,8.29,7.46,9.95,100.0,2023-05-05,7.46,SL,-500.6,-10.01,33
AFCG,פריצה,2023-05-05,7.64,6.88,9.17,100.0,2023-05-11,6.88,SL,-497.38,-9.95,4
ANAB,תמיכה,2023-03-31,14.51,13.06,17.41,100.0,2023-05-12,13.06,SL,-499.66,-9.99,29
BRP,תמיכה,2023-05-02,23.98,21.58,28.78,100.0,2023-05-15,21.58,SL,-500.42,-10.01,9
ASUR,פריצה,2023-05-01,13.77,12.39,16.52,100.0,2023-05-16,12.39,SL,-501.09,-10.02,11
BMRC,תמיכה,2023-05-04,13.82,12.44,16.58,100.0,2023-05-17,16.58,TP,998.55,19.97,9
ARTNA,פריצה,2023-04-20,56.19,50.57,67.43,100.0,2023-05-19,50.57,SL,-500.09,-10.0,21
MKTW,תמיכה,2023-04-25,32.0,28.8,38.4,100.0,2023-05-22,38.4,TP,1000.0,20.0,19
FDBC,תמיכה,2023-05-19,39.46,35.51,47.35,100.0,2023-05-25,35.51,SL,-500.51,-10.01,4
AIV,פריצה,2023-04-10,7.72,6.95,9.26,100.0,2023-06-06,8.66,TIME,608.81,12.18,40
ADPT,תמיכה,2023-05-04,6.43,5.79,7.72,100.0,2023-06-06,7.72,TP,1003.11,20.06,22
GTY,פריצה,2023-04-20,33.95,30.56,40.74,100.0,2023-06-16,34.99,TIME,153.17,3.06,40
CWT,תמיכה,2023-05-04,56.92,51.23,68.3,100.0,2023-06-21,51.23,SL,-499.82,-10.0,32
CCBG,פריצה,2023-04-25,29.5,26.55,35.4,100.0,2023-06-22,30.89,TIME,235.59,4.71,40
DORM,תמיכה,2023-05-03,86.05,77.44,103.26,100.0,2023-06-23,77.44,SL,-500.29,-10.01,35
ALEC,פריצה,2023-06-22,7.31,6.58,8.77,100.0,2023-06-26,6.58,SL,-499.32,-9.99,2
BZH,פריצה,2023-05-03,19.99,17.99,23.99,100.0,2023-06-27,23.99,TP,1000.5,20.01,37
ALTI,פריצה,2023-06-26,6.56,5.9,7.87,100.0,2023-06-28,7.87,TP,998.48,19.97,2
BGFV,פריצה,2023-05-17,7.78,7.0,9.34,100.0,2023-06-29,9.34,TP,1002.57,20.05,29
ARLO,פריצה,2023-05-22,9.26,8.33,11.11,100.0,2023-06-29,11.11,TP,998.92,19.98,26
COFS,תמיכה,2023-05-03,21.54,19.39,25.85,100.0,2023-06-30,23.0,TIME,338.9,6.78,40
ATI,פריצה,2023-05-15,36.38,32.74,43.66,100.0,2023-06-30,43.66,TP,1000.55,20.01,32
ALVR,תמיכה,2023-06-28,75.44,67.9,90.53,100.0,2023-07-05,67.9,SL,-499.73,-9.99,4
FCCO,תמיכה,2023-05-11,16.66,14.99,19.99,100.0,2023-07-11,16.96,TIME,90.04,1.8,40
BBCP,תמיכה,2023-05-16,6.95,6.25,8.34,100.0,2023-07-14,8.1,TIME,827.34,16.55,40
AEIS,פריצה,2023-06-06,100.53,90.48,120.64,100.0,2023-07-17,120.64,TP,1000.2,20.0,27
AX,תמיכה,2023-06-23,36.64,32.98,43.97,100.0,2023-07-18,43.97,TP,1000.27,20.01,16
ALEC,תמיכה,2023-06-27,5.98,5.38,7.18,100.0,2023-07-18,7.18,TP,1003.34,20.07,14
KFS,תמיכה,2023-05-22,8.57,7.71,10.28,100.0,2023-07-20,8.15,TIME,-245.04,-4.9,40
FNKO,תמיכה,2023-07-14,8.15,7.34,9.78,100.0,2023-07-20,7.34,SL,-496.93,-9.94,4
ASC,פריצה,2023-06-06,12.13,10.92,14.56,100.0,2023-08-03,13.84,TIME,704.86,14.1,40
CHRD,פריצה,2023-06-06,149.78,134.8,179.74,100.0,2023-08-03,156.23,TIME,215.32,4.31,40
CTLP,פריצה,2023-07-20,7.97,7.17,9.56,100.0,2023-08-08,7.17,SL,-501.88,-10.04,13
AAON,פריצה,2023-06-16,63.87,57.48,76.64,100.0,2023-08-15,63.0,TIME,-68.11,-1.36,40
FPI,פריצה,2023-06-30,12.21,10.99,14.65,100.0,2023-08-15,10.99,SL,-499.59,-9.99,31
BKH,תמיכה,2023-06-21,61.34,55.21,73.61,100.0,2023-08-17,55.51,TIME,-475.22,-9.5,40
CRBU,פריצה,2023-07-18,6.91,6.22,8.29,100.0,2023-08-17,6.22,SL,-499.28,-9.99,22
GTY,פריצה,2023-07-20,33.67,30.3,40.4,100.0,2023-08-17,30.3,SL,-500.45,-10.01,20
AGEN,תמיכה,2023-08-08,25.0,22.5,30.0,100.0,2023-08-18,30.0,TP,1000.0,20.0,8
BOX,פריצה,2023-06-29,29.37,26.43,35.24,100.0,2023-08-25,30.5,TIME,192.37,3.85,40
CBT,פריצה,2023-06-29,66.14,59.53,79.37,100.0,2023-08-25,69.46,TIME,250.98,5.02,40
ALIT,תמיכה,2023-08-15,167.2,150.48,200.64,100.0,2023-08-25,150.48,SL,-500.0,-10.0,8
FBRT,פריצה,2023-06-30,14.16,12.74,16.99,100.0,2023-08-28,14.2,TIME,14.12,0.28,40
IPAR,פריצה,2023-06-30,135.23,121.71,162.28,100.0,2023-08-28,135.39,TIME,5.92,0.12,40
ARIS,פריצה,2023-08-17,11.37,10.23,13.64,100.0,2023-08-31,10.23,SL,-501.32,-10.03,10
CABA,פריצה,2023-08-28,14.56,13.1,17.47,100.0,2023-09-01,13.1,SL,-501.37,-10.03,4
ANGO,תמיכה,2023-08-03,8.34,7.51,10.01,100.0,2023-09-05,7.51,SL,-497.6,-9.95,22
MCS,פריצה,2023-07-11,15.11,13.6,18.13,100.0,2023-09-06,15.08,TIME,-9.93,-0.2,40
EIG,תמיכה,2023-07-14,35.79,32.21,42.95,100.0,2023-09-11,39.53,TIME,522.49,10.45,40
BCO,פריצה,2023-07-17,67.99,61.19,81.59,100.0,2023-09-12,76.28,TIME,609.65,12.19,40
CMC,פריצה,2023-07-18,56.42,50.78,67.7,100.0,2023-09-13,51.9,TIME,-400.57,-8.01,40
BCAB,תמיכה,2023-08-25,121.5,109.35,145.8,100.0,2023-09-13,109.35,SL,-500.0,-10.0,12
APPS,תמיכה,2023-09-12,7.15,6.44,8.58,100.0,2023-09-14,6.44,SL,-496.5,-9.93,2
ACRV,פריצה,2023-09-01,11.71,10.54,14.05,100.0,2023-09-15,10.54,SL,-499.57,-9.99,9
PTCT,תמיכה,2023-09-13,38.62,34.76,46.34,100.0,2023-09-15,34.76,SL,-499.74,-9.99,2
