date,equity,open_positions,cash
2022-06-07,92522.92,17,1856.34
2022-06-08,90585.31,17,2536.69
2022-06-09,88180.53,17,2113.53
2022-06-10,86749.34,17,1611.71
2022-06-13,83500.13,17,111.08
2022-06-14,82969.04,16,4936.12
2022-06-15,84218.73,16,4936.12
2022-06-16,81466.15,16,4435.7
2022-06-17,82218.1,16,3936.14
2022-06-21,83292.2,16,3936.14
2022-06-22,83081.82,16,3936.14
2022-06-23,83310.12,16,2936.49
2022-06-24,84534.84,16,2434.97
2022-06-27,84695.42,16,1933.38
2022-06-28,83572.68,16,1933.38
2022-06-29,82790.75,16,1933.38
2022-06-30,82827.98,16,1933.38
2022-07-01,83077.16,16,1376.9
2022-07-05,83129.63,16,1376.9
2022-07-06,82409.71,16,1376.9
2022-07-07,83870.06,16,1376.9
2022-07-08,83628.87,16,1415.92
2022-07-11,82763.89,16,1415.92
2022-07-12,83269.47,16,1415.92
2022-07-13,82622.27,16,1160.58
2022-07-14,81729.11,16,1160.58
2022-07-15,83484.6,16,1160.58
2022-07-18,83483.51,16,1160.58
2022-07-19,86072.46,16,1799.38
2022-07-20,87150.51,16,1799.38
2022-07-21,87751.9,16,1799.38
2022-07-22,87014.38,16,1799.38
2022-07-25,87021.41,16,1799.38
2022-07-26,86370.78,16,1799.38
2022-07-27,88859.83,16,2799.91
2022-07-28,90759.42,16,3800.12
2022-07-29,91446.66,16,4797.94
2022-08-01,91367.85,16,4797.94
2022-08-02,91704.96,17,797.29
2022-08-03,92684.58,17,797.29
2022-08-04,93862.23,15,12797.73
2022-08-05,93393.29,17,2797.73
2022-08-08,93795.61,17,3797.73
2022-08-09,92652.54,17,3298.14
2022-08-10,93786.9,17,4363.64
2022-08-11,92893.26,17,4363.64
2022-08-12,94305.31,18,363.64
2022-08-15,95067.34,18,363.64
2022-08-16,94313.53,18,363.64
2022-08-17,92681.18,18,363.64
2022-08-18,93303.81,18,1361.39
2022-08-19,91750.26,17,5381.07
2022-08-22,89710.3,17,4880.41
2022-08-23,90121.35,17,4880.41
2022-08-24,89901.06,17,4381.86
2022-08-25,91726.23,17,4381.86
2022-08-26,89380.19,17,4381.86
2022-08-29,87556.38,17,3810.11
2022-08-30,86535.65,17,3310.11
2022-08-31,86398.46,17,2810.46
2022-09-01,85368.56,17,1809.64
2022-09-02,84094.34,17,1534.26
2022-09-06,82953.53,17,535.51
2022-09-07,84550.54,17,35.51
2022-09-08,84755.9,17,35.51
2022-09-09,85539.01,16,4534.12
2022-09-12,87412.41,17,532.04
2022-09-13,85055.19,17,1532.64
2022-09-14,85439.44,17,1614.32
